Indicator,Type
nmrx.mrbonus.com,hostname
document.methoder.com,hostname
drives.methoder.com,hostname
sky.oldbmwy.com,hostname
images.tokyo-gojp.com,hostname
film.everydayfilmlink.com,hostname
fukuoka.tokyo-gojp.com,hostname
be.yourtrap.com,hostname
creatos.kozow.com,hostname
forward.davidgagnon.org,hostname
commons.onedumb.com,hostname
ducksow.ddnsgeek.com,hostname
grandeur.kozow.com,hostname
haggard.casacam.net,hostname
hawthorn.theworkpc.com,hostname
windowsupdate.serveuser.com,hostname
androidmusicapp.onmypc.us,hostname
ceeskophishingcampaignapt1337.com,domain
army.xxuz.com,hostname
diamond.ninth.biz,hostname
portal.sendsmtp.com,hostname
koala.acsocietyy.com,hostname
nsa.mefound.com,hostname
hammock.ooguy.com,hostname
mation.urearapetsu.com,hostname
music.websegoo.net,hostname
bexm.cleansite.biz,hostname
privacy.ckusshani.com,hostname
whellbuy.wschandler.com,hostname
m.video.urearapetsu.com,hostname
firtstdata.kozow.com,hostname
http://intelreport.mandiant.com/Mandiant_APT1_Report.pdf,URL
https://www.fireeye.com/content/dam/fireeye-www/services/pdfs/mandiant-apt1-report.pdf,URL
nymphz.com,domain
bbist.com,domain
novapt1.com,domain
adapt1.site,domain
151.106.2.153,IPv4
3f17aadb4a41292e7b208a467f3a8be3e2a88d77a23cba54092673dfd3dff155,FileHash-SHA256
whale.toshste.com,hostname
ctldl.windowsupdate.dnset.com,hostname
cavanic9.net,domain
ridingduck.com,domain
zipcodeterm.com,domain
micakiz.wikaba.org,hostname
stone.jumpingcrab.com,hostname
bezu.itemdb.com,hostname
windowsupdate.dns05.com,hostname
kxsbwappupdate.dhcp.biz,hostname
products.cleansite.us,hostname
civilwar520.onmypc.org,hostname
contractus.zzux.com,hostname
twpeoplemusicsite.my03.com,hostname
windowsupdate.authorizeddns.org,hostname
globalnews.wikaba.com,hostname
brand.fartit.com,hostname
feed.jungleheart.com,hostname
transfer.lflinkup.org,hostname
itunesmirror.fartit.com,hostname
register.ourhobby.com,hostname
windowsupdate.authorizeddns.net,hostname
transfer.vizvaz.com,hostname
sindeali.com,domain
septdlluckysystem.jungleheart.com,hostname
ol.almostmy.com,hostname
windowsupdate.mrface.com,hostname
windowsupdate.jungleheart.com,hostname
music.cleansite.us,hostname
contactus.onmypc.us,hostname
shugiin.jkub.com,hostname
sstday.jkub.com,hostname
mmy.ddns.us,hostname
support1.mrface.com,hostname
applemirror.squirly.info,hostname
digsby.ourhobby.com,hostname
mseupdate.ourhobby.com,hostname
windowsupdate.rebatesrule.net,hostname
synssl.dnset.com,hostname
maffc.mrface.com,hostname
microsoft.mrface.com,hostname
itunesdownload.wikaba.com,hostname
read.xxuz.com,hostname
recent.fartit.com,hostname
registration2.instanthq.com,hostname
updates.itsaol.com,hostname
tamraj.fartit.com,hostname
msg.ezua.com,hostname
imap.dnset.com,hostname
macfee.mrface.com,hostname
reserveds.onedumb.com,hostname
details.squirly.info,hostname
portal.mrface.com,hostname
products.serveuser.com,hostname
server1.proxydns.com,hostname
recent.dns-stuff.com,hostname
